,gender,3.Age (အသက်),5.Current residing state/region (လက်ရှိနေထိုင်သော ပြည်နယ် (သို့) တိုင်းဒေသကြီး),6.Highest Education (အမြင့်ဆုံးအောင်မြင်ခဲ့သောအတန်း),7.Specialization in High School (Grade (12)  (တက္ကသိုလ်ဝင်တန်းတွင် ဆည်းပူးခဲ့သော ဘာသာတွဲ),8.Your current job or University(လက်ရှိ  အလုပ်အကိုင်(သို့မဟုတ်) တက်ရောက်နေသောတက္ကသိုလ်)
1,Female,17,Shan,Pass 7th Grade,Biology ,Student 
2,Female,15,Mandalay,Pass 7th Grade,None,None
3,Female,16,Yangon,Pass 10th Grade,bio,.
4,Male,22,Yangon,Pass 10th Grade,ဝိဇ္ဇာ,Non
5,Female,24,Bago,Pass University First Year,Biology ,Technological university taungoo
6,Male,22,Mandalay,Pass University First Year,အတွဲ(၇) ဇီဝဗေဒ,student
7,Female,17,Mon,Pass 10th Grade,Bio,Attending G-11 online non-profit organization 
8,Male,25,Kayin,Pass University First Year,"Myanmar, English, Maths, Physics, Chemistry, Economy ",Cleaning 
9,Female,16,Yangon,Pass 8th Grade,အီကို,ကျောင်းသူ
10,Male,17,Yangon,Pass 10th Grade,Bio,None 
11,Female,19,Bago,Pass 10th Grade,Bio,No
12,Male,30,Thailand (Mae Sot),Other,ပထမနှစ် (မြန်မာစာ),News Editor
13,Female,21,Yangon,Pass 10th Grade,မရှိပါ။ Grade 10 တုန်းက ဘောဂဗေဒဘာသာနဲ့ပါ။,International Teaching Class ရဲ့ Primary Part Time Teacher ပါ။ Organization တစ်ခုမှာလည်း Junior Graphic Designer Volunteer အနေနဲ့ Volunteer လုပ်နေပါတယ်။
14,Male,18,Magway,Pass 9th Grade,Biology,မရှိ
15,Male,18,Yangon,Pass 9th Grade,-,self-studing GED
16,Female,23,Yangon,Pass 9th Grade,Economic ,Nurse aid 
17,Female,18,Yangon,Pass 10th Grade,Biology,Intern
18,Male,19,Mandalay,Pass 9th Grade,ECO,volunteer 
19,Male,16,Mandalay,Pass 7th Grade,Not applicable,Not applicable
20,Male,18,Yangon,Pass 8th Grade,၉တန်း ထိပဲ တက်ဘူးပါတယ်,Delivery
21,Male,20,Sagaing,Pass 9th Grade,Biology,No
22,Male,17,Yangon,Pass 9th Grade,Bio,Grade 10
23,Female,16,Thailand (Mae Sot),Pass 9th Grade,BIO,Student 
24,Female,19,Yangon,Pass 10th Grade,"Myanmar,English,Mathematics,Physics, Chemistry,Economics,Social Study  ","I haven't join university,I'm volunteering at Dufferin International Management Organization (DIMO) at public Media Department's, Code Male Organization as a Organization development officer,Young Learners Education Center as a graphic designer and Organizer officer. "
25,Female,17,Mon,Pass 9th Grade,Grade 12မတတ်ရသေးပါ။,။
26,Female,19,Sagaing,Pass 10th Grade,သိပ္ပံတွဲ,English Class တက်နေပြီး Dream Education မှာ Volunteer လုပ်နေပါတယ်။
27,Female,18,Others,Pass 9th Grade,Science ,Volunteer (Facilitator) - Fluency Butterfly International 
28,Male,18,Yangon,Pass 9th Grade,သိပ္ပံတွဲ,CDM student
29,Female,17,Bago,Pass 9th Grade,-,-
30,Male,16,Yangon,Pass 9th Grade,Biology,G11 new တတ်နေပါတယ်
31,Female,14,Taninthary,Pass 7th Grade,Biology,G-7 student 
32,Female,19,Yangon,Pass 9th Grade,Bio,မတက်ပါ
33,Male,18,Others,Pass 10th Grade,Bio တွဲ,Currently studying at grade 10 
34,Male,22,Rakhine,Pass 10th Grade,Physic ,BRAC University 
35,Male,18,Others,Pass 9th Grade,"Biology, Chemistry, Physics, Math, English and Burmese ",Bright Life Community High 
36,Male,27,Others,Pass 9th Grade,Economic ,None
37,Male,27,Others,Pass 9th Grade,"Burmese, English, Mathematics, Physics, Chemistry and Economics",Jobless
38,Male,1/1/1998,Others,Pass 9th Grade,No,No
39,Male,2000,Others,Pass 10th Grade,"Myanmar, English,Math, Physics Chemistry and Biology.",Bright life community high school.
40,Male,20,Others,Pass 10th Grade,Biology and mathematics ,I have been working as a teacher at Mukti cox's bazaar 
41,Male,15 yrs,Sagaing,Pass 7th Grade,N/A,cdm student
42,Male,19,Others,Pass 9th Grade,Bio,Student 
43,Female,15,Mandalay,Pass 7th Grade,မရှိ,ကျောင်းမတက်နေပါရှင့်
44,Male,15,Yangon,Pass 7th Grade,စစ်ကောင်စီလက်အောက်တွင်တက်ရောက်ခြင်းမရှိ,ကျောင်းသား
45,Male,18,Others,Pass 10th Grade,English ,I'm working for Bangladesh Rural Advancement Committee BRAC as a Burmese language instructor BLI in NGO learning centes 
46,Female,17,Yangon,Pass 9th Grade,Biology,-
47,Female,19,Bago,Pass 10th Grade,-,Yangon Economic University(Ywarthargyi)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
